spot_id,mountain_group,source_code,type,category,note,is_entrance,lon,lat
P58127,아차산·용마산,112150201,시종점,시종점,,1,127.088601,37.564651
P58128,아차산·용마산,112150201,시종점,시종점,,1,127.089004,37.570236
P58129,아차산·용마산,112150201,시종점,시종점,,1,127.089523,37.568257
P58130,아차산·용마산,112150201,시종점,시종점,,1,127.089668,37.568187
P58131,아차산·용마산,112150201,시종점,시종점,,1,127.089675,37.569954
P58138,아차산·용마산,112150201,시종점,시종점,,1,127.090111,37.567606
P58139,아차산·용마산,112150201,시종점,시종점,,1,127.090264,37.56957
P58142,아차산·용마산,112150201,시종점,시종점,,1,127.090913,37.561036
P58151,아차산·용마산,112150201,시종점,시종점,,1,127.091752,37.562805
P58153,아차산·용마산,112150201,시종점,시종점,,1,127.091796,37.562322
P58157,아차산·용마산,112150201,시종점,시종점,,1,127.09342,37.562164
P58165,아차산·용마산,112150201,시종점,시종점,,1,127.093741,37.568937
P58166,아차산·용마산,112150201,시종점,시종점,,1,127.093812,37.568987
P58169,아차산·용마산,112150201,시종점,시종점,,1,127.095134,37.569412
P58170,아차산·용마산,112150201,시종점,시종점,,1,127.095175,37.556155
P58171,아차산·용마산,112150201,시종점,시종점,,1,127.095277,37.569732
P58175,아차산·용마산,112150201,시종점,시종점,,1,127.095606,37.570838
P58179,아차산·용마산,112150201,시종점,시종점,,1,127.095825,37.561432
P58193,아차산·용마산,112150201,시종점,시종점,,1,127.096635,37.571303
P58194,아차산·용마산,112150201,시종점,시종점,,1,127.096663,37.554639
P58196,아차산·용마산,112150201,시종점,시종점,,1,127.097327,37.554249
P58197,아차산·용마산,112150201,시종점,시종점,,1,127.097736,37.567392
P58198,아차산·용마산,112150201,시종점,시종점,,1,127.098067,37.564858
P58203,아차산·용마산,112150201,시종점,시종점,,1,127.098487,37.564675
P58204,아차산·용마산,112150201,시종점,시종점,,1,127.098692,37.572503
P58205,아차산·용마산,112150201,시종점,시종점,,1,127.099575,37.552665
P58207,아차산·용마산,112150201,시종점,시종점,,1,127.100027,37.551795
P58208,아차산·용마산,112150201,시종점,시종점,,1,127.10007,37.564423
P58213,아차산·용마산,112150201,시종점,시종점,,1,127.100527,37.553306
P58248,아차산·용마산,112150201,시종점,시종점,,1,127.101658,37.551371
P58249,아차산·용마산,112150201,시종점,시종점,,1,127.101672,37.552783
P58253,아차산·용마산,112150201,시종점,시종점,,1,127.101835,37.551646
P58274,아차산·용마산,112150201,시종점,시종점,,1,127.102179,37.551792
P58292,아차산·용마산,112150201,시종점,시종점,,1,127.103278,37.551785
P58301,아차산·용마산,112150201,시종점,시종점,,1,127.10392,37.552099
P58303,아차산·용마산,112150201,시종점,시종점,,1,127.104376,37.551868
P68749,아차산·용마산,112600501,시종점,시종점,,1,127.087618,37.572608
P68750,아차산·용마산,112600501,시종점,시종점,,1,127.088096,37.571193
P68763,아차산·용마산,112600501,시종점,시종점,,1,127.091813,37.578297
P68764,아차산·용마산,112600501,시종점,시종점,,1,127.091955,37.576171
P68772,아차산·용마산,112600501,시종점,시종점,,1,127.092784,37.578214
P68777,아차산·용마산,112600501,시종점,시종점,,1,127.093065,37.577869
P68782,아차산·용마산,112600501,시종점,시종점,,1,127.093328,37.580516
P68785,아차산·용마산,112600501,시종점,시종점,,1,127.09408,37.571296
P68794,아차산·용마산,112600501,시종점,시종점,,1,127.094996,37.580787
P68804,아차산·용마산,112600501,시종점,시종점,,1,127.095764,37.580939
P68820,아차산·용마산,112600501,시종점,시종점,,1,127.098645,37.577297
P68835,아차산·용마산,112600501,시종점,시종점,,1,127.102691,37.579549
P7704,관악산,116200201,시종점,시종점,,1,126.976484,37.433869
P7707,관악산,116200201,시종점,시종점,"입산통제..,백운정사",1,126.977241,37.423589
P7709,관악산,116200201,시종점,시종점,,1,126.977486,37.471449
P7721,관악산,116200201,시종점,시종점,강씨종친회,1,126.986266,37.429954
P7722,관악산,116200201,시종점,시종점,,1,126.986734,37.431598
P7724,관악산,116200201,시종점,시종점,,1,126.986972,37.431538
P7725,관악산,116200201,시종점,시종점,10대명당,1,126.987268,37.430114
P7728,관악산,116200201,시종점,시종점,관악산화장실,1,126.988823,37.433663
P7729,관악산,116200201,시종점,시종점,"과천교회,로프시설",1,126.991136,37.434915
P7730,관악산,116200201,시종점,시종점,,1,126.991365,37.446688
P7731,관악산,116200201,시종점,시종점,"주택집,콘테이너박스",1,126.991468,37.445262
P7732,관악산,116200201,시종점,시종점,,1,126.993465,37.446933
P7733,관악산,116200201,시종점,시종점,,1,126.993761,37.437425
P7752,관악산,116200604,시종점,시종점,,1,126.933033,37.452317
P7762,관악산,116200604,시종점,시종점,,1,126.94425,37.4401
P7764,관악산,116200604,시종점,시종점,,1,126.947127,37.44677
P7765,관악산,116200604,시종점,시종점,,1,126.947976,37.440796
P7766,관악산,116200604,시종점,시종점,,1,126.94798,37.46384
P7774,관악산,116200704,시종점,시종점,,1,126.959222,37.465109
P7775,관악산,116200704,시종점,시종점,,1,126.963067,37.472567
P7777,관악산,116200704,시종점,시종점,,1,126.966116,37.468612
P7781,관악산,116200704,시종점,시종점,,1,126.969454,37.471459
P7782,관악산,116200704,시종점,시종점,,1,126.969551,37.469803
P7784,관악산,116200704,시종점,시종점,,1,126.971533,37.463183
P7790,관악산,116200704,시종점,시종점,,1,126.975362,37.473026
P7801,관악산,116200704,시종점,시종점,,1,126.978191,37.467201
P7804,관악산,116200704,시종점,시종점,,1,126.978378,37.472677
P7904,관악산,116200904,시종점,시종점,,1,126.938633,37.440767
P7905,관악산,116200904,시종점,시종점,,1,126.944952,37.455135
P7906,관악산,116200904,시종점,시종점,,1,126.947053,37.447473
P7910,관악산,116200904,시종점,시종점,,1,126.949467,37.451967
P7911,관악산,116200904,시종점,시종점,,1,126.949573,37.445675
P7915,관악산,116200904,시종점,시종점,,1,126.953191,37.453022
P7920,관악산,116200904,시종점,시종점,,1,126.954883,37.4499
P7921,관악산,116200904,시종점,시종점,,1,126.955277,37.443174
P7924,관악산,116200904,시종점,시종점,,1,126.963866,37.440594
P7925,관악산,116200904,시종점,시종점,,1,126.964183,37.4422
P7926,관악산,116200904,시종점,시종점,,1,126.96441,37.445282
P44700,북한산,113050202,시종점,시종점,,1,126.932745,37.622036
P44701,북한산,113050202,시종점,시종점,,1,126.933918,37.6143
P44707,북한산,113050202,시종점,시종점,,1,126.939779,37.644513
P44710,북한산,113050202,시종점,시종점,,1,126.943268,37.640761
P44712,북한산,113050202,시종점,시종점,,1,126.943382,37.614047
P44719,북한산,113050202,시종점,시종점,,1,126.945127,37.610748
P44721,북한산,113050202,시종점,시종점,,1,126.946439,37.658402
P44725,북한산,113050202,시종점,시종점,,1,126.947782,37.658936
P44727,북한산,113050202,시종점,시종점,,1,126.94786,37.61072
P44735,북한산,113050202,시종점,시종점,,1,126.951043,37.662396
P44740,북한산,113050202,시종점,시종점,,1,126.952687,37.614248
P44744,북한산,113050202,시종점,시종점,,1,126.95387,37.656875
P44748,북한산,113050202,시종점,시종점,,1,126.955071,37.669597
P44749,북한산,113050202,시종점,시종점,,1,126.955092,37.670076
P44750,북한산,113050202,시종점,시종점,,1,126.955695,37.674525
P44753,북한산,113050202,시종점,시종점,,1,126.956648,37.608574
P44754,북한산,113050202,시종점,시종점,,1,126.956634,37.675628
P44757,북한산,113050202,시종점,시종점,,1,126.957744,37.613536
P44761,북한산,113050202,시종점,시종점,,1,126.95905,37.679259
P44782,북한산,113050202,시종점,시종점,,1,126.965983,37.693174
P44795,북한산,113050202,시종점,시종점,,1,126.969862,37.661265
P44796,북한산,113050202,시종점,시종점,,1,126.970092,37.700373
P44806,북한산,113050202,시종점,시종점,,1,126.973891,37.616173
P44813,북한산,113050202,시종점,시종점,,1,126.976194,37.66617
P44814,북한산,113050202,시종점,시종점,,1,126.976231,37.682662
P44815,북한산,113050202,시종점,시종점,,1,126.976742,37.653181
P44838,북한산,113050202,시종점,시종점,,1,126.981631,37.612652
P44855,북한산,113050202,시종점,시종점,,1,126.98589,37.679593
P44873,북한산,113050202,시종점,시종점,,1,126.992142,37.612084
P44879,북한산,113050202,시종점,시종점,,1,126.993658,37.675458
P44884,북한산,113050202,시종점,시종점,,1,126.994238,37.695136
P44889,북한산,113050202,시종점,시종점,,1,126.995509,37.665479
P44895,북한산,113050202,시종점,시종점,,1,126.998837,37.618003
P44900,북한산,113050202,시종점,시종점,,1,127.002208,37.642366
P44902,북한산,113050202,시종점,시종점,,1,127.002948,37.6432
P44905,북한산,113050202,시종점,시종점,,1,127.004087,37.635213
P44908,북한산,113050202,시종점,시종점,,1,127.004704,37.644573
P44912,북한산,113050202,시종점,시종점,,1,127.007714,37.66126
P44914,북한산,113050202,시종점,시종점,,1,127.008966,37.661037
P44915,북한산,113050202,시종점,시종점,,1,127.009187,37.633149
P44916,북한산,113050202,시종점,시종점,,1,127.009679,37.627527
P44917,북한산,113050202,시종점,시종점,,1,127.010169,37.653493
P44918,북한산,113050202,시종점,시종점,,1,127.010552,37.65725
P44919,북한산,113050202,시종점,시종점,,1,127.0116,37.664333
P44920,북한산,113050202,시종점,시종점,,1,127.011702,37.664577
P44531,북한산,114100801,시종점,시종점,,1,126.940201,37.601525
P44533,북한산,114100801,시종점,시종점,,1,126.940919,37.602965
P44534,북한산,114100801,시종점,시종점,,1,126.940974,37.597137
P44542,북한산,114100801,시종점,시종점,,1,126.941569,37.603634
P44543,북한산,114100801,시종점,시종점,,1,126.941596,37.601341
P44544,북한산,114100801,시종점,시종점,,1,126.941663,37.602947
P44545,북한산,114100801,시종점,시종점,,1,126.941679,37.603921
P44548,북한산,114100801,시종점,시종점,,1,126.942327,37.594357
P44549,북한산,114100801,시종점,시종점,,1,126.942366,37.604142
P44551,북한산,114100801,시종점,시종점,,1,126.942545,37.598277
P44553,북한산,114100801,시종점,시종점,,1,126.942629,37.594532
P44557,북한산,114100801,시종점,시종점,,1,126.942954,37.604841
P44565,북한산,114100801,시종점,시종점,,1,126.943285,37.599478
P44568,북한산,114100801,시종점,시종점,,1,126.943404,37.595215
P44574,북한산,114100801,시종점,시종점,,1,126.943523,37.602679
P44579,북한산,114100801,시종점,시종점,,1,126.943636,37.598476
P44580,북한산,114100801,시종점,시종점,,1,126.943675,37.600559
P44582,북한산,114100801,시종점,시종점,,1,126.943682,37.600116
P44585,북한산,114100801,시종점,시종점,,1,126.944109,37.601373
P44586,북한산,114100801,시종점,시종점,,1,126.944151,37.594243
P44588,북한산,114100801,시종점,시종점,,1,126.944207,37.601036
P44589,북한산,114100801,시종점,시종점,,1,126.94422,37.600559
P44590,북한산,114100801,시종점,시종점,,1,126.944242,37.598434
P44594,북한산,114100801,시종점,시종점,,1,126.944525,37.604769
P44600,북한산,114100801,시종점,시종점,,1,126.944987,37.604864
P44602,북한산,114100801,시종점,시종점,,1,126.945211,37.60162
P44604,북한산,114100801,시종점,시종점,,1,126.945612,37.600883
P44605,북한산,114100801,시종점,시종점,,1,126.945712,37.605786
P44611,북한산,114100801,시종점,시종점,,1,126.946301,37.607092
P44615,북한산,114100801,시종점,시종점,,1,126.946495,37.601433
P44619,북한산,114100801,시종점,시종점,,1,126.94684,37.608565
P44623,북한산,114100801,시종점,시종점,,1,126.947067,37.60775
P44642,북한산,114100801,시종점,시종점,,1,126.948839,37.604513
P44643,북한산,114100801,시종점,시종점,,1,126.949012,37.605547
P44648,북한산,114100801,시종점,시종점,,1,126.949513,37.606692
P44651,북한산,114100801,시종점,시종점,,1,126.949587,37.605798
P44652,북한산,114100801,시종점,시종점,,1,126.949627,37.612833
P44654,북한산,114100801,시종점,시종점,,1,126.949835,37.605701
P44656,북한산,114100801,시종점,시종점,,1,126.95054,37.605939
P44658,북한산,114100801,시종점,시종점,,1,126.950623,37.605145
