node_id,lon,lat,degree
N00001,127.098224,37.555036,3
N00002,127.101892,37.557875,3
N00003,127.098116,37.56468,3
N00004,127.10007,37.564423,1
N00005,127.096121,37.556635,3
N00006,127.101525,37.559599,3
N00007,127.099575,37.552665,1
N00008,127.101058,37.553905,3
N00009,127.096768,37.564384,3
N00010,127.098226,37.566075,3
N00011,127.095175,37.556155,1
N00012,127.089767,37.569536,3
N00013,127.089004,37.570236,1
N00014,127.089984,37.569342,3
N00015,127.089767,37.569407,3
N00016,127.090003,37.56945,3
N00017,127.096663,37.554639,1
N00018,127.090029,37.568156,3
N00019,127.093741,37.568937,1
N00020,127.090111,37.567606,1
N00021,127.089807,37.569682,3
N00022,127.09149,37.565479,3
N00023,127.088601,37.564651,1
N00024,127.0915,37.562809,3
N00025,127.091495,37.562575,3
N00026,127.091625,37.563016,4
N00027,127.091752,37.562805,1
N00028,127.090798,37.561826,3
N00029,127.09342,37.562164,1
N00030,127.093661,37.562768,3
N00031,127.097736,37.567392,1
N00032,127.098193,37.56478,3
N00033,127.098067,37.564858,1
N00034,127.096204,37.5687,3
N00035,127.095106,37.568485,3
N00036,127.095777,37.569586,3
N00037,127.095696,37.569551,3
N00038,127.096092,37.570836,3
N00039,127.095606,37.570838,1
N00040,127.095576,37.570013,3
N00041,127.095499,37.569955,3
N00042,127.096474,37.563307,4
N00043,127.095998,37.562824,3
N00044,127.096426,37.562829,3
N00045,127.096254,37.562306,3
N00046,127.093443,37.564813,3
N00047,127.09216,37.565022,3
N00048,127.096635,37.571303,1
N00049,127.090264,37.56957,1
N00050,127.096468,37.563905,3
N00051,127.095277,37.569732,1
N00052,127.095595,37.56993,3
N00053,127.095958,37.569458,3
N00054,127.098487,37.564675,1
N00055,127.095851,37.562253,3
N00056,127.091779,37.562671,3
N00057,127.092233,37.56276,3
N00058,127.093489,37.563778,3
N00059,127.094381,37.568404,3
N00060,127.093669,37.564835,3
N00061,127.091963,37.563552,4
N00062,127.091644,37.564427,4
N00063,127.089675,37.569954,1
N00064,127.089668,37.568187,1
N00065,127.097327,37.554249,1
N00066,127.090471,37.568697,3
N00067,127.089523,37.568257,1
N00068,127.091472,37.563691,3
N00069,127.091103,37.563836,3
N00070,127.091398,37.564044,3
N00071,127.093488,37.56355,3
N00072,127.093517,37.563027,3
N00073,127.095664,37.566264,3
N00074,127.096322,37.563598,3
N00075,127.096314,37.563396,3
N00076,127.096178,37.562384,3
N00077,127.093554,37.564428,3
N00078,127.102359,37.553157,3
N00079,127.103193,37.553881,4
N00080,127.101004,37.552393,3
N00081,127.100596,37.552386,4
N00082,127.100551,37.553124,6
N00083,127.100527,37.553306,1
N00084,127.10007,37.55263,4
N00085,127.100451,37.55267,3
N00086,127.099892,37.55253,3
N00087,127.103893,37.552259,3
N00088,127.104376,37.551868,1
N00089,127.103601,37.557877,3
N00090,127.103252,37.557185,3
N00091,127.103762,37.557922,3
N00092,127.10115,37.553331,3
N00093,127.101595,37.552563,4
N00094,127.101602,37.55246,4
N00095,127.101546,37.553291,3
N00096,127.101373,37.553198,4
N00097,127.101935,37.552121,3
N00098,127.101926,37.551883,3
N00099,127.102643,37.551899,3
N00100,127.102179,37.551792,1
N00101,127.101877,37.551882,3
N00102,127.101444,37.552272,3
N00103,127.101658,37.551371,1
N00104,127.103665,37.552179,3
N00105,127.10392,37.552099,1
N00106,127.102081,37.552618,4
N00107,127.102343,37.552487,3
N00108,127.101838,37.552779,3
N00109,127.10184,37.552685,3
N00110,127.101682,37.552874,4
N00111,127.101672,37.552783,1
N00112,127.102006,37.552614,3
N00113,127.101922,37.552402,4
N00114,127.101867,37.552481,3
N00115,127.101393,37.552735,4
N00116,127.101428,37.552496,3
N00117,127.101958,37.552834,4
N00118,127.102395,37.552734,3
N00119,127.101771,37.553024,5
N00120,127.10175,37.553395,4
N00121,127.103241,37.5722,3
N00122,127.102661,37.558752,3
N00123,127.102908,37.558704,3
N00124,127.103813,37.558012,3
N00125,127.103079,37.552263,3
N00126,127.102854,37.552159,3
N00127,127.100952,37.552872,4
N00128,127.100554,37.552839,3
N00129,127.100874,37.552987,3
N00130,127.100966,37.552968,4
N00131,127.101442,37.552862,6
N00132,127.10117,37.552855,3
N00133,127.101427,37.552902,4
N00134,127.101277,37.553063,4
N00135,127.10112,37.553194,3
N00136,127.1027,37.552098,4
N00137,127.102806,37.552002,3
N00138,127.103278,37.551785,1
N00139,127.10216,37.553148,3
N00140,127.102075,37.553238,3
N00141,127.101266,37.55269,3
N00142,127.102152,37.552248,3
N00143,127.102428,37.552212,3
N00144,127.101866,37.552417,3
N00145,127.10153,37.552785,4
N00146,127.102035,37.552659,3
N00147,127.10198,37.552645,4
N00148,127.101296,37.553108,4
N00149,127.101256,37.553246,3
N00150,127.101196,37.553143,3
N00151,127.101914,37.552884,3
N00152,127.102369,37.552666,3
N00153,127.102666,37.552158,3
N00154,127.101835,37.551646,1
N00155,127.101505,37.553056,4
N00156,127.101478,37.553166,4
N00157,127.101927,37.553045,4
N00158,127.101994,37.553068,3
N00159,127.101458,37.553063,3
N00160,127.102482,37.552799,3
N00161,127.101592,37.552852,4
N00162,127.100722,37.553055,3
N00163,127.100118,37.552297,3
N00164,127.100027,37.551795,1
N00165,127.103528,37.553166,3
N00166,127.103511,37.552739,3
N00167,127.104037,37.554865,3
N00168,127.103686,37.554636,3
N00169,127.095825,37.561432,1
N00170,127.091796,37.562322,1
N00171,127.090913,37.561036,1
N00172,127.095134,37.569412,1
N00173,127.10144,37.572821,3
N00174,127.100278,37.572979,3
N00175,127.093812,37.568987,4
N00176,127.098692,37.572503,4
N00177,127.089403,37.570485,4
N00178,127.090638,37.571148,3
N00179,127.089209,37.570535,3
N00180,127.088547,37.570417,3
N00181,127.088096,37.571193,1
N00182,127.089064,37.571709,3
N00183,127.095308,37.571909,3
N00184,127.095739,37.571147,3
N00185,127.094827,37.572364,3
N00186,127.089236,37.576522,1
N00187,127.090835,37.576988,3
N00188,127.097757,37.579121,3
N00189,127.097353,37.579132,4
N00190,127.096954,37.579135,3
N00191,127.094463,37.580439,4
N00192,127.096114,37.579652,4
N00193,127.095827,37.579885,3
N00194,127.095961,37.58026,5
N00195,127.093328,37.580516,1
N00196,127.095524,37.580534,3
N00197,127.094996,37.580787,1
N00198,127.091813,37.578297,1
N00199,127.092527,37.577652,4
N00200,127.092647,37.577411,4
N00201,127.092092,37.576904,3
N00202,127.095764,37.580939,1
N00203,127.096417,37.580462,3
N00204,127.092784,37.578214,1
N00205,127.097852,37.579163,3
N00206,127.09824,37.579341,3
N00207,127.09922,37.579301,3
N00208,127.096373,37.580281,3
N00209,127.097252,37.57982,3
N00210,127.097718,37.580169,3
N00211,127.0943,37.575931,3
N00212,127.09518,37.573547,3
N00213,127.096407,37.573178,3
N00214,127.093285,37.577579,4
N00215,127.09702,37.57946,3
N00216,127.093065,37.577869,1
N00217,127.092595,37.577304,3
N00218,127.092112,37.576662,3
N00219,127.089123,37.570277,3
N00220,127.091955,37.576171,1
N00221,127.092847,37.577097,3
N00222,127.09329,37.575972,3
N00223,127.093292,37.576215,3
N00224,127.092458,37.576654,3
N00225,127.098906,37.578288,3
N00226,127.099746,37.57755,3
N00227,127.092898,37.576817,4
N00228,127.089245,37.572088,3
N00229,127.099752,37.579661,3
N00230,127.099543,37.579324,3
N00231,127.100012,37.579589,3
N00232,127.101188,37.579264,3
N00233,127.100326,37.579661,3
N00234,127.100506,37.579565,3
N00235,127.101381,37.576205,3
N00236,127.099483,37.579294,3
N00237,127.099835,37.578777,3
N00238,127.095584,37.57051,3
N00239,127.09523,37.569719,3
N00240,127.091176,37.569743,3
N00241,127.091156,37.569567,3
N00242,127.098645,37.577297,1
N00243,127.093234,37.575533,3
N00244,127.093636,37.57505,3
N00245,127.091367,37.569584,3
N00246,127.092298,37.569677,3
N00247,127.09291,37.570308,3
N00248,127.092794,37.569264,3
N00249,127.102691,37.579549,1
N00250,127.094568,37.570544,4
N00251,127.094644,37.570494,3
N00252,127.094755,37.569844,3
N00253,127.087618,37.572608,1
N00254,127.095537,37.570523,3
N00255,127.094529,37.571292,3
N00256,127.09408,37.571296,1
N00257,127.094752,37.571412,3
N00258,127.095472,37.570771,3
N00259,127.095187,37.571448,3
N00260,127.096448,37.571225,3
N00261,127.099094,37.57922,3
N00262,126.982575,37.445718,3
N00263,126.974373,37.447573,2
N00264,126.976126,37.425056,3
N00265,126.964926,37.42934,3
N00266,126.962329,37.423644,3
N00267,126.962456,37.431112,3
N00268,126.974168,37.441678,3
N00269,126.967396,37.441086,3
N00270,126.973132,37.433557,4
N00271,126.976795,37.426134,3
N00272,126.970919,37.435742,3
N00273,126.971405,37.438014,3
N00274,126.962241,37.433992,3
N00275,126.969549,37.432322,3
N00276,126.964387,37.437529,3
N00277,126.970385,37.431883,3
N00278,126.97403,37.447718,3
N00279,126.982374,37.444715,3
N00280,126.970224,37.431209,3
N00281,126.964289,37.430372,3
N00282,126.97197,37.437402,3
N00283,126.980233,37.435031,3
N00284,126.972565,37.435363,3
N00285,126.976484,37.433869,1
N00286,126.984996,37.438239,3
N00287,126.977607,37.443054,3
N00288,126.96926,37.447004,3
N00289,126.977486,37.471449,3
N00290,126.965592,37.438547,3
N00291,126.962056,37.435461,3
N00292,126.975606,37.425428,3
N00293,126.969431,37.443146,3
N00294,126.986734,37.431598,1
N00295,126.976695,37.433899,3
N00296,126.981173,37.436114,3
N00297,126.986972,37.431538,1
N00298,126.988019,37.438293,4
N00299,126.993465,37.446933,1
N00300,126.993761,37.437425,1
N00301,126.985817,37.434001,3
N00302,126.98859,37.435788,3
N00303,126.984972,37.431084,3
N00304,126.971973,37.429342,3
N00305,126.986142,37.444806,3
N00306,126.991365,37.446688,1
N00307,126.982412,37.444838,3
N00308,126.985476,37.443999,3
N00309,126.970053,37.420894,2
N00310,126.977284,37.439547,3
N00311,126.987268,37.430114,1
N00312,126.991136,37.434915,1
N00313,126.988823,37.433663,1
N00314,126.986266,37.429954,1
N00315,126.991468,37.445262,1
N00316,126.976336,37.425148,3
N00317,126.986917,37.433345,1
N00318,126.976415,37.42516,3
N00319,126.975912,37.441146,3
N00320,126.970653,37.431788,3
N00321,126.970831,37.431721,3
N00322,126.97078,37.431836,3
N00323,126.972604,37.447822,2
N00324,126.970317,37.447141,3
N00325,126.96696,37.440182,3
N00326,126.96545,37.441585,1
N00327,126.965687,37.443598,3
N00328,126.965305,37.442578,3
N00329,126.965293,37.445966,3
N00330,126.963077,37.431062,3
N00331,126.971149,37.446381,3
N00332,126.968935,37.446812,3
N00333,126.967575,37.445132,3
N00334,126.965611,37.441553,2
N00335,126.964769,37.429409,3
N00336,126.968901,37.443547,3
N00337,126.965761,37.443684,3
N00338,126.964294,37.445196,2
N00339,126.964449,37.444137,3
N00340,126.96469,37.443178,3
N00341,126.964268,37.442147,3
N00342,126.964759,37.441774,3
N00343,126.96409,37.44137,3
N00344,126.964211,37.442162,4
N00345,126.964857,37.438351,3
N00346,126.968968,37.446908,3
N00347,126.965138,37.441981,3
N00348,126.963938,37.440738,3
N00349,126.96349,37.440987,3
N00350,126.964013,37.441282,3
N00351,126.977241,37.423589,1
N00352,126.940603,37.436725,4
N00353,126.938839,37.448867,3
N00354,126.947127,37.44677,1
N00355,126.94496,37.455129,4
N00356,126.944117,37.454183,3
N00357,126.943536,37.454043,3
N00358,126.938385,37.450577,3
N00359,126.939533,37.449617,3
N00360,126.938967,37.450833,3
N00361,126.939644,37.451115,3
N00362,126.94425,37.4401,1
N00363,126.933033,37.452317,1
N00364,126.94798,37.46384,1
N00365,126.940697,37.436107,3
N00366,126.947976,37.440796,1
N00367,126.963067,37.472567,1
N00368,126.964467,37.46575,3
N00369,126.969083,37.4619,3
N00370,126.96875,37.463217,3
N00371,126.968254,37.462676,3
N00372,126.959222,37.465109,1
N00373,126.974703,37.466013,3
N00374,126.9762,37.465383,3
N00375,126.977286,37.470511,3
N00376,126.978367,37.469083,3
N00377,126.977102,37.467406,3
N00378,126.978378,37.472677,1
N00379,126.972945,37.465574,3
N00380,126.971533,37.463183,1
N00381,126.975362,37.473026,1
N00382,126.970807,37.471363,4
N00383,126.969454,37.471459,1
N00384,126.969551,37.469803,1
N00385,126.978265,37.466509,4
N00386,126.97855,37.466183,3
N00387,126.976495,37.468286,4
N00388,126.973325,37.466041,3
N00389,126.977933,37.466217,3
N00390,126.966116,37.468612,1
N00391,126.968736,37.459349,2
N00392,126.978191,37.467201,1
N00393,126.975783,37.471333,3
N00394,126.975006,37.46691,3
N00395,126.97744,37.470943,3
