safety_id,mountain_group,source_code,marker_type,marker_no,agency,location_desc,lon,lat
SF2298,아차산·용마산,112150201,고유식별번호판,2-1,서울소방본부,중랑캠핑숲 주차장 전방 120m,127.11149,37.60322
SF2299,아차산·용마산,112150201,고유식별번호판,2-2,서울소방본부,중랑캠핑숲 주차장 전방 200m,127.11179,37.60261
SF2300,아차산·용마산,112150201,고유식별번호판,2-3,서울소방본부,중랑캠핑숲 후문 앞,127.11131,37.60206
SF2301,아차산·용마산,112150201,고유식별번호판,2-4,서울소방본부,망우묘지공원 축구장 옆,127.11114,37.59874
SF2302,아차산·용마산,112150201,고유식별번호판,2-5,서울소방본부,망우묘지공원 주차장 전방 갈림길,127.11498,37.5979
SF2303,아차산·용마산,112150201,고유식별번호판,2-6,서울소방본부,망우묘지공원 주차장 전방 750m,127.11023,37.59397
SF2304,아차산·용마산,112150201,고유식별번호판,2-7,서울소방본부,망우묘지공원 주차장 전방 1000m,127.10937,37.59251
SF2305,아차산·용마산,112150201,고유식별번호판,2-8,서울소방본부,깔딱고개 후방 100m,127.10727,37.58886
SF2306,아차산·용마산,112150201,고유식별번호판,2-9,서울소방본부,깔딱고개 앞,127.10682,37.58801
SF2307,아차산·용마산,112150201,고유식별번호판,2-10,서울소방본부,깔딱고개 끝,127.10743,37.58715
SF2308,아차산·용마산,112150201,고유식별번호판,2-11,서울소방본부,깔딱고개 전방 380m,127.10698,37.58484
SF2309,아차산·용마산,112150201,고유식별번호판,2-12,서울소방본부,깔딱고개 전방 480m,127.10655,37.58418
SF2310,아차산·용마산,112150201,고유식별번호판,2-13,서울소방본부,깔딱고개 전방 750m,127.10384,37.5827
SF2311,아차산·용마산,112150201,고유식별번호판,2-14,서울소방본부,깔딱고개 전방 900m,127.10293,37.58176
SF2312,아차산·용마산,112150201,고유식별번호판,2-15,서울소방본부,용마산 헬기장 후방 820m,127.10294,37.58064
SF2313,아차산·용마산,112150201,고유식별번호판,2-16,서울소방본부,용마산 헬기장 후방 700m,127.10311,37.57963
SF2314,아차산·용마산,112150201,고유식별번호판,2-17,서울소방본부,용마산 헬기장 후방 600m,127.10315,37.57885
SF2315,아차산·용마산,112150201,고유식별번호판,2-18,서울소방본부,용마산 헬기장 후방 400m,127.10079,37.57338
SF2316,아차산·용마산,112150201,고유식별번호판,2-19,서울소방본부,용마산 헬기장 앞,127.10093,37.5733
SF2317,아차산·용마산,112150201,고유식별번호판,2-20,서울소방본부,용마산 헬기장 앞,127.10195,37.57676
SF2318,아차산·용마산,112150201,고유식별번호판,2-21,서울소방본부,아차산 4보루 후방 120m,127.10396,37.57151
SF2319,아차산·용마산,112150201,고유식별번호판,2-22,서울소방본부,아차산 4보루 앞,127.10395,37.57052
SF2320,아차산·용마산,112150201,고유식별번호판,2-23,서울소방본부,아차산 5보루 앞,127.10245,37.56462
SF2321,아차산·용마산,112150201,고유식별번호판,2-24,서울소방본부,아차산 5보루 앞,127.10223,37.56422
SF2322,아차산·용마산,112150201,고유식별번호판,2-25,서울소방본부,아차산 1보루 앞,127.10163,37.5622
SF2323,아차산·용마산,112150201,고유식별번호판,2-26,서울소방본부,해맞이 광장 앞,127.10157,37.55958
SF2324,아차산·용마산,112150201,고유식별번호판,2-27,서울소방본부,해맞이 광장 전방 70m,127.10233,37.55917
SF2325,아차산·용마산,112150201,고유식별번호판,2-28,서울소방본부,해맞이 광장 전방 150m,127.10266,37.55885
SF2326,아차산·용마산,112150201,고유식별번호판,2-29,서울소방본부,해맞이 광장 전방 260m,127.10386,37.55809
SF2327,아차산·용마산,112150201,고유식별번호판,2-30,서울소방본부,해맞이 광장 전방 290m,127.10382,37.55785
SF2328,아차산·용마산,112150201,고유식별번호판,2-31,서울소방본부,아차산관리사무소 후방 250m,127.10124,37.55507
SF2329,아차산·용마산,112150201,고유식별번호판,2-32,서울소방본부,아차산관리사무소 후방 180m,127.10133,37.55432
SF2330,아차산·용마산,112150201,고유식별번호판,2-33,서울소방본부,아차산관리사무소 후방 50m,127.10034,37.55334
SF2331,아차산·용마산,112150201,고유식별번호판,2-34,서울소방본부,아차산 생태공원 앞,127.09987,37.55237
SF2332,아차산·용마산,112150201,고유식별번호판,2-35,서울소방본부,아차산 생태공원 갈림길,127.10091,37.55067
SF2333,아차산·용마산,112150201,고유식별번호판,2-36,서울소방본부,광장초등학교 전방 100m,127.10223,37.54811
SF2237,수락산·불암산,113500201,고유식별번호판,1-1,서울소방본부,서울창포원 후문 20m 전방,127.04932,37.68813
SF2238,수락산·불암산,113500201,고유식별번호판,1-2,서울소방본부,상도교 초입,127.05054,37.68617
SF2239,수락산·불암산,113500201,고유식별번호판,1-3,서울소방본부,상도교 끝,127.05187,37.68673
SF2240,수락산·불암산,113500201,고유식별번호판,1-4,서울소방본부,진성교회 후방 50m,127.05208,37.68734
SF2241,수락산·불암산,113500201,고유식별번호판,1-5,서울소방본부,진성교회 후방 30m,127.05239,37.68753
SF2242,수락산·불암산,113500201,고유식별번호판,1-6,서울소방본부,수락리버시티 3단지 305동 전방 80m,127.05556,37.68898
SF2243,수락산·불암산,113500201,고유식별번호판,1-7,서울소방본부,수락리버시티 3단지 305동 전방 130m,127.05594,37.68944
SF2244,수락산·불암산,113500201,고유식별번호판,1-8,서울소방본부,수락리버시티 3단지 305동 전방 370m,127.05859,37.68992
SF2245,수락산·불암산,113500201,고유식별번호판,1-9,서울소방본부,수락리버시티 3단지 306동 전방 400m,127.0597,37.68835
SF2246,수락산·불암산,113500201,고유식별번호판,1-10,서울소방본부,수락리버시티 3단지 306동 전방 600m,127.05945,37.68713
SF2247,수락산·불암산,113500201,고유식별번호판,1-11,서울소방본부,은빛 3단지 아파트 309동 후방 400m,127.05802,37.68593
SF2248,수락산·불암산,113500201,고유식별번호판,1-12,서울소방본부,은빛 3단지 아파트 309동 후방 200m,127.05845,37.68421
SF2249,수락산·불암산,113500201,고유식별번호판,1-13,서울소방본부,은빛 3단지 아파트 309동 후방 90m,127.05864,37.68318
SF2250,수락산·불암산,113500201,고유식별번호판,1-14,서울소방본부,은빛 3단지 아파트 309동 후방 60m,127.05849,37.68298
SF2251,수락산·불암산,113500201,고유식별번호판,1-15,서울소방본부,은빛 3단지 아파트 301동 전방 60m,127.05852,37.68198
SF2252,수락산·불암산,113500201,고유식별번호판,1-16,서울소방본부,벽운동 근린공원 후방 100m,127.05874,37.67994
SF2253,수락산·불암산,113500201,고유식별번호판,1-17,서울소방본부,벽운동 근린공원 전방 230m,127.06061,37.6789
SF2254,수락산·불암산,113500201,고유식별번호판,1-18,서울소방본부,벽운동 근린공원 전방 330m,127.06041,37.67806
SF2255,수락산·불암산,113500201,고유식별번호판,1-19,서울소방본부,수락산 만남의 광장 후방 240m,127.06156,37.67644
SF2256,수락산·불암산,113500201,고유식별번호판,1-20,서울소방본부,수락산 만남의 광장 후방 30m,127.06182,37.67471
SF2257,수락산·불암산,113500201,고유식별번호판,1-21,서울소방본부,수락산 만남의 광장 전방 250m,127.06322,37.67319
SF2258,수락산·불암산,113500201,고유식별번호판,1-22,서울소방본부,수락산 만남의 광장 전방 320m,127.06307,37.67263
