spot_id,mountain_group,source_code,type,category,note,is_entrance,lon,lat
P57735,아차산·용마산,112150201,관리사무소,기타,,0,127.099901,37.553089
P57736,아차산·용마산,112150201,음수대,음수대,,0,127.100337,37.553297
P57737,아차산·용마산,112150201,운동기구,시설물(운동기구 등),,0,127.1006,37.553453
P57738,아차산·용마산,112150201,가로등,가로등,,0,127.100875,37.553588
P57739,아차산·용마산,112150201,안내판,안내판또는지도,,0,127.100941,37.553731
P57740,아차산·용마산,112150201,가로등,가로등,,0,127.10106,37.5539
P57741,아차산·용마산,112150201,정자,정자,,0,127.101348,37.554348
P57742,아차산·용마산,112150201,벤치,벤치,,0,127.10129,37.554461
P57743,아차산·용마산,112150201,가로등,가로등,,0,127.101211,37.554596
P57744,아차산·용마산,112150201,다리(평강교),기타,,0,127.101299,37.555118
P57745,아차산·용마산,112150201,가로등,가로등,,0,127.101442,37.555175
P57746,아차산·용마산,112150201,재난기구,기타,,0,127.101482,37.555272
P57747,아차산·용마산,112150201,이정표,이정표,,0,127.101603,37.555353
P57748,아차산·용마산,112150201,다리,기타,,0,127.101749,37.555505
P57749,아차산·용마산,112150201,벤치,벤치,,0,127.101856,37.555543
P57750,아차산·용마산,112150201,가로등,가로등,,0,127.102083,37.555616
P57751,아차산·용마산,112150201,운동기구,시설물(운동기구 등),,0,127.102128,37.555619
P57752,아차산·용마산,112150201,벤치,벤치,,0,127.102257,37.55564
P57753,아차산·용마산,112150201,벤치,벤치,,0,127.102365,37.55568
P57754,아차산·용마산,112150201,가로등,가로등,,0,127.102417,37.555707
P57755,아차산·용마산,112150201,재난기구,기타,,0,127.102596,37.555812
P57756,아차산·용마산,112150201,가로등,가로등,,0,127.102723,37.555957
P57757,아차산·용마산,112150201,벤치,벤치,,0,127.102766,37.556316
P57758,아차산·용마산,112150201,가로등,가로등,,0,127.102763,37.556353
P57759,아차산·용마산,112150201,벤치,벤치,,0,127.102803,37.556419
P57760,아차산·용마산,112150201,목계단,기타,,0,127.102897,37.556671
P57761,아차산·용마산,112150201,가로등,가로등,,0,127.102964,37.556821
P57762,아차산·용마산,112150201,목계단,기타,,0,127.103126,37.556973
P57763,아차산·용마산,112150201,가로등,가로등,,0,127.103229,37.557155
