spot_id,mountain_group,lat,lon,course_start,station_name,line,walk_min,note
P58170,아차산·용마산,37.556155,127.095175,아차산역 출발 해맞이 코스,아차산역,,12,자동 추정(직선 651m 기준) 1번 출구 · 검증 전
P7704,관악산,37.433869,126.976484,,정부과천청사역,,24,자동 추정(직선 1381m 기준) 8번 출구 · 검증 전
P7707,관악산,37.423589,126.977241,,정부과천청사역,,19,자동 추정(직선 1042m 기준) 7번 출구 · 검증 전
P7709,관악산,37.471449,126.977486,,사당역,,10,자동 추정(직선 539m 기준) 4번 출구 · 검증 전
P7721,관악산,37.429954,126.986266,,정부과천청사역,,8,자동 추정(직선 433m 기준) 10번 출구 · 검증 전
P7722,관악산,37.431598,126.986734,,정부과천청사역,,9,자동 추정(직선 518m 기준) 10번 출구 · 검증 전
P7724,관악산,37.431538,126.986972,,정부과천청사역,,9,자동 추정(직선 499m 기준) 10번 출구 · 검증 전
P7725,관악산,37.430114,126.987268,,정부과천청사역,,7,자동 추정(직선 369m 기준) 10번 출구 · 검증 전
P7728,관악산,37.433663,126.988823,,과천역,,10,자동 추정(직선 545m 기준) 7번 출구 · 검증 전
P7729,관악산,37.434915,126.991136,,과천역,,8,자동 추정(직선 434m 기준) 7번 출구 · 검증 전
P7730,관악산,37.446688,126.991365,,선바위역,,19,자동 추정(직선 1042m 기준) 2번 출구 · 검증 전
P7731,관악산,37.445262,126.991468,,선바위역,,20,자동 추정(직선 1135m 기준) 2번 출구 · 검증 전
P7732,관악산,37.446933,126.993465,,선바위역,,16,자동 추정(직선 880m 기준) 2번 출구 · 검증 전
P7733,관악산,37.437425,126.993761,,과천역,,10,자동 추정(직선 560m 기준) · 검증 전
P7752,관악산,37.452317,126.933033,,,,,
P7762,관악산,37.4401,126.94425,,,,,
P7764,관악산,37.44677,126.947127,,,,,
P7765,관악산,37.440796,126.947976,,,,,
P7766,관악산,37.46384,126.94798,,관악산역,,10,자동 추정(직선 571m 기준) 1번 출구 · 검증 전
P7774,관악산,37.465109,126.959222,,관악산역,,22,자동 추정(직선 1264m 기준) 1번 출구 · 검증 전
P7775,관악산,37.472567,126.963067,,낙성대역,,9,자동 추정(직선 462m 기준) 1번 출구 · 검증 전
P7777,관악산,37.468612,126.966116,,낙성대역,,16,자동 추정(직선 902m 기준) 1번 출구 · 검증 전
P7781,관악산,37.471459,126.969454,,낙성대역,,13,자동 추정(직선 729m 기준) 1번 출구 · 검증 전
P7782,관악산,37.469803,126.969551,,낙성대역,,16,자동 추정(직선 885m 기준) 1번 출구 · 검증 전
P7784,관악산,37.463183,126.971533,,남태령역,,26,자동 추정(직선 1467m 기준) 3번 출구 · 검증 전
P7790,관악산,37.473026,126.975362,,사당역,,11,자동 추정(직선 588m 기준) 4번 출구 · 검증 전
P7801,관악산,37.467201,126.978191,,남태령역,,16,자동 추정(직선 910m 기준) 4번 출구 · 검증 전
P7804,관악산,37.472677,126.978378,,사당역,,7,자동 추정(직선 386m 기준) 4번 출구 · 검증 전
P7904,관악산,37.440767,126.938633,,,,,
P7905,관악산,37.455135,126.944952,,,,,
P7906,관악산,37.447473,126.947053,,,,,
P7910,관악산,37.451967,126.949467,,,,,
P7911,관악산,37.445675,126.949573,,,,,
P7915,관악산,37.453022,126.953191,,,,,
P7920,관악산,37.4499,126.954883,,,,,
P7921,관악산,37.443174,126.955277,,,,,
P7924,관악산,37.440594,126.963866,,,,,
P7925,관악산,37.4422,126.964183,,,,,
P7926,관악산,37.445282,126.96441,,,,,
P43918,북악산,37.601735,126.961105,,,,,
P43920,북악산,37.597187,126.963559,,,,,
P43921,북악산,37.602287,126.963894,,,,,
P43929,북악산,37.60479,126.965444,,,,,
P43952,북악산,37.592168,126.967655,,,,,
P43958,북악산,37.606025,126.967901,,,,,
P43969,북악산,37.602825,126.969142,,,,,
P43972,북악산,37.600669,126.969221,,,,,
P43978,북악산,37.599052,126.971127,,,,,
P43980,북악산,37.607517,126.972217,,,,,
P43987,북악산,37.60916,126.973946,,,,,
P43989,북악산,37.608759,126.975681,,,,,
P43996,북악산,37.602134,126.981,,,,,
P43998,북악산,37.61129,126.991743,,북한산보국문역,,25,자동 추정(직선 1427m 기준) 2번 출구 · 검증 전
P43999,북악산,37.611924,126.991804,,북한산보국문역,,25,자동 추정(직선 1417m 기준) 2번 출구 · 검증 전
P44531,북한산,37.601525,126.940201,,녹번역,,7,자동 추정(직선 374m 기준) 2번 출구 · 검증 전
P44533,북한산,37.602965,126.940919,,녹번역,,9,자동 추정(직선 495m 기준) 2번 출구 · 검증 전
P44534,북한산,37.597137,126.940974,,녹번역,,11,자동 추정(직선 583m 기준) 2번 출구 · 검증 전
P44542,북한산,37.603634,126.941569,,녹번역,,11,자동 추정(직선 578m 기준) 1번 출구 · 검증 전
P44543,북한산,37.601341,126.941596,,녹번역,,9,자동 추정(직선 490m 기준) 2번 출구 · 검증 전
P44544,북한산,37.602947,126.941663,,녹번역,,10,자동 추정(직선 551m 기준) 2번 출구 · 검증 전
P44545,북한산,37.603921,126.941679,,녹번역,,11,자동 추정(직선 600m 기준) 1번 출구 · 검증 전
P44548,북한산,37.594357,126.942327,,홍제역,,10,자동 추정(직선 566m 기준) 1번 출구 · 검증 전
P44549,북한산,37.604142,126.942366,,녹번역,,12,자동 추정(직선 665m 기준) 1번 출구 · 검증 전
P44551,북한산,37.598277,126.942545,,녹번역,,11,자동 추정(직선 628m 기준) 2번 출구 · 검증 전
P44553,북한산,37.594532,126.942629,,홍제역,,11,자동 추정(직선 580m 기준) 1번 출구 · 검증 전
P44557,북한산,37.604841,126.942954,,녹번역,,13,자동 추정(직선 747m 기준) 1번 출구 · 검증 전
P44565,북한산,37.599478,126.943285,,녹번역,,12,자동 추정(직선 647m 기준) 2번 출구 · 검증 전
P44568,북한산,37.595215,126.943404,,홍제역,,12,자동 추정(직선 649m 기준) 1번 출구 · 검증 전
P44574,북한산,37.602679,126.943523,,녹번역,,12,자동 추정(직선 691m 기준) 2번 출구 · 검증 전
